No.,プレフィックス,項目名,必須項目,最小回数,最大数,項目名（英語）,説明,形式,記入例,名称・形式等の参考元
39,pd,定員備考,,0,1,capacityRemarks,定員に関する備考（３グループまでなど）を記載。,文字列,１グループ４名まで,
40,pd,料金種別,必,1,1,feeType,「有料」、「無料」の区分を記載。,文字列,有料,
41,pd,料金,,0,1,fee,イベントに参加費用（単位：円）で記載。,数値（半角数字）,1500,IMI
42,pd,料金備考,,0,1,feeRemarks,料金に関する備考（１グループ1000円など）を記載。,文字列,大人１名1500円、子供１名500円(18歳以下)、65歳以上１名1000円,
43,pd,決済種別,,0,1,paymentType,決済種別（現金、クレジットカード、電子マネーなど）を記載（セミコロン区切りで列挙）。,文字列,現金;電子マネー,
44,pd,外国語対応,,0,1,foreignLanguageSupport,外国語の対応言語を記載（セミコロン区切りで列挙）。,文字列,JA;EN,
45,pd,外国語対応備考,,0,1,foreignLanguageSupportRemarks,外国語対応に関する備考（英語は案内ありなど）を記載。,文字列,英語音声ガイドあり,
46,pd,開催条件,,0,1,holdingConditions,開催条件（雨天決行など）を記載。,文字列,雨天中止,
47,pd,申込期限日,,0,1,applicationDeadlineDate,申込期限日を記載。,日付（YYYY-MM-DD）,2019-08-09,
48,pd,申込期限時刻,,0,1,applicationDeadlineTime,申込期限時刻を記載。,時刻（HH:MM）,22:00,
49,pd,申込開始日,,0,1,applicationStartDate,申込開始日を記載。,日付（YYYY-MM-DD）,2019-07-01,
50,pd,申込開始時刻,,0,1,applicationStartTime,申込開始時刻を記載。,時刻（HH:MM）,10:00,
51,pd,申込URL,,0,1,applicationUrl,Web申し込む場合のURLを記載。,URI,https://www.xxx-hanabi.com/abc.html,
52,pd,申込方法,必,1,1,applicationMethod,申込方法（当日参加可、要事前申込みなど）を記載。,文字列,https://www.xxx-hanabi.com/abc.htmlの申込フォームより事前申し込みが必要,
53,pd,アクセス方法,,0,1,accessMethod,イベント会場へのアクセス方法を記載。,文字列,JR東京駅から徒歩10分,
54,pd,駐車場情報,,0,1,parkingInformation,イベント会場で指定されている駐車場情報を記載。,文字列,駐車スペース100台・身障者用駐車場10台,
55,pd,駐車場料金,,0,1,parkingFee,駐車場料金の「有料」、「無料」の区分を記載。,文字列,無料,
56,pd,駐輪場情報,,0,1,bicycleParkingInformation,イベント会場で指定されている駐輪場情報を記載。,文字列,駐輪スペース1000台,
57,pd,連絡先情報,必,1,1,contactPointInformation,連絡先情報を記載。,pd:連絡先,連絡先型のデータモデルを格納,schema.org
58,pd,アクセリビリティ情報,,0,1,accessibilityInformation,アクセリビリティ情報を記載。,pd:アクセシビリティ,アクセシビリティ型のデータモデルを格納,
59,pd,子育て支援情報,,0,1,childcareServiceInformation,子育て支援情報を記載。,pd:子育て支援情報,子育て支援情報型のデータモデルを格納,
